条目编号（item_id）,主张文本（claim_text）,证据片段（evidence_snippets）,语义判断：支持/部分支持/矛盾/证据不足/已移除（SUPPORTED/PARTIAL/CONTRADICTED/INSUFFICIENT/REMOVED）,编码备注（notes）
T151,此外，多智能体 RAG 架构 [6] 虽未直接针对上述两种评测，但其展示的上下文感知检索与多代理协作模式为提升声明忠实度和引文质量提供了潜在的技术路径。,"[6] MANTRA: Enhancing Automated Method-Level Refactoring with Contextual RAG and Multi-Agent LLM Collaboration (2025): Maintaining and scaling software systems relies heavily on effective code refactoring, yet this process remains labor-intensive, requiring developers to carefully analyze existing codebases and prevent the introduction of new defects. Although recent advancements have leveraged Large Language Models (LLMs) to automate refactoring tasks, current solutions are constrained in scope and lack mechanisms to guarantee code compilability and successful test execution. In this work, we introduce MANTRA, a comprehensive LLM agent-based framework that automates method-level refactoring. MANTRA integrates Context-Aware Retrieval-Augmented Generation, coordinated Multi-Agent Collaboration, and Verbal Reinforcement Learning to emulate human decision-making during refactoring while preserving code correctness and readability. Our empirical study, conducted on 703 instances of""pure refactorings""(i.e., code changes exclusively involving structural improvements), drawn from 10 representative Java projects, covers the six most prevalent refactoring operations. Experimental results demonstrate that MANTRA substantially surpasses a baseline LLM model (RawGPT ), achieving an 82.8% success rate (582/703) in producing code that compiles and passes all tests, compared to just 8.7% (61/703) with RawGPT. Moreover, in comparison to IntelliJ's LLM-powered refactoring tool (EM-Assist), MANTRA exhibits a 50% improvement in generating Extract Method transformations. A usability study involving 37 professional developers further shows that refactorings performed by MANTRA are perceived to be as readable and reusable as human-written code, and in certain cases, even more favorable. These results highlight the practical advantages of MANTRA and emphasize the growing potential of LLM-based systems in advancing the automation of software refactoring tasks.",,
T178,052）[4]。,"[4] 面向人工智能系统的跨层级安全漏洞分析与量化建模 (2026): 针对<span class='highlight'>人工智能</span>(AI)系统因高复杂性与跨层耦合性而产生的安全威胁,提出一种跨层级安全漏洞的量化分析方法.该方法构建一个涵盖硬件、网络、基础软件、数据、模型算法、智能体与应用层的七层技术架构,并结合漏洞库数据系统性识别各层脆弱点.建立一个由威胁传导概率模型(TCPM)、风险扩散强度模型(RDIM)和防御成本效益模型(DCEM)构成的耦合建模体系.该体系分别用于量化威胁在层级间的传播概率、评估风险沿 攻击链的扩散强度,以及测算不同防御措施的成本效益.对 1 841个AI相关漏洞的统计分析表明,中高危漏洞占比达65.2%.以英伟达容器工具包(CVE-2024-0132)漏洞为例的案例验证显示:该漏洞从基础软件层向上传导的概率均超过 0.96;经逐层放大后,应用层的最终风险强度达到 0.922,属严重风险;在 3种防御措施中,针对源头的容器补丁升级成本效益比最高,为0.052.结论表明,该模型体系 能够有效揭示AI系统中的风险放大效应与关键防御节点,为制定精准、经济的安全防护策略提供了定量决策依据. To address the security threats arising from the high complexity and cross-layer coupling of Artificial Intelligence(AI)systems,a quantitative analysis method for cross-layer security vulnerabilities  in AI systems was proposed.firstly,a seven-layer technical architecture was established covering hardware,network,basic software,data,model algorithms,intelligent agents,and application layers,and  systematically identifies vulner-abilities at each layer by integrating vulnerability database data.A coupled modeling system,comprising the Threat Conduction Probability Model(TCPM),Risk Diffusion Intensity Model (RDIM),and Defense Cost Ef-fectiveness Model(DCEM),was developed to quantify the probability of threat propagation across those layers,evaluate the risk diffusion intensity along attack chains,and  measure the cost-effectiveness of various defense measures.Statistical analysis of 1 841 AI-related vulnerabilities reveals that medium-to-high severity vulnerabil-ities account for 65.2%of the total.A case",,
T064,"经筛选，所有记录均未直接论述多智能体系统的写作模板，但可从中提取间接原则：技术性研究（如[1]）和用户行为研究（如[5,6,7]）均强调清晰的理论基础、方法严谨性和情境化设计，这为从内部汇报转向期刊投稿的模板调整提供了类比依据。","[1] 6G Wireless Networks: Vision, Requirements, Architecture, and Key Technologies (2019): A key enabler for the intelligent information society of 2030, 6G networks are expected to provide performance superior to 5G and satisfy emerging services and applications. In this article, we present our vision of what 6G will be and describe usage scenarios and requirements for multi-terabyte per second (Tb/s) and intelligent 6G networks. We present a large-dimensional and autonomous network architecture that integrates space, air, ground, and underwater networks to provide ubiquitous and unlimited wireless connectivity. We also discuss artificial intelligence (AI) and machine learning [1], [2] for autonomous networks and innovative air-interface design. Finally, we identify several promising technologies for the 6G ecosystem, including terahertz (THz) communications, very-large-scale antenna arrays [i.e., supermassive (SM) multiple-input, multiple-output (MIMO)], large intelligent surfaces (LISs) and holographic beamforming (HBF), orbital angular momentum (OAM) multiplexing, laser and visible-light communications (VLC), blockchain-based spectrum sharing, quantum communications and computing, molecular communications, and the Internet of Nano-Things. || [5] AI-based chatbots in customer service and their effects on user compliance (2020): Abstract Communicating with customers through live chat interfaces has become an increasingly popular means to provide real-time customer service in many e-commerce settings. Today, human chat service agents are frequently replaced by conversational software agents or chatbots, which are systems designed to communicate with human users by means of natural language often based on artificial intelligence (AI). Though cost- and time-saving opportunities triggered a widespread implementation of AI-based chatbots, they still frequently fail to meet customer expectations, potentially resulting in users being less inclined to comply with requests made by the chatbot. Drawing on social response and commitment-consistency theory, we empirically examine through a randomized online experiment how verbal anthropomorphic design cues and the foot-in-the-door technique affect user request compliance. Our results demonstrate that both anthropomorphism as well as the need to stay consistent significantly increase the likelihood that users comply with a chatbot’s request for service feedback. Moreover, the results show that social presence mediates the effect of anthropomorphic design cues on user compliance. || [6] Adoption of AI-based chatbots for hospitality and tourism (2020): Purpose This study aims to investigate the customers’ behavioral intention and actual usage (AUE) of artificial intelligence (AI)-powered chatbots for hospitality and tourism in India by extending the technology adoption model (TAM) with context-specific variables. Design/methodology/approach To understand the customers’ behavioral intention and AUE of AI-powered chatbots for tourism, the mixed-method design was used whereby qualitative and quantitative techniques were combined. A total of 36 senior managers and executives from the travel agencies were interviewed and the analysis of interview data was done using NVivo 8.0 software. A total of 1,480 customers were surveyed and the partial least squares structural equation modeling technique was used for data analysis. Findings As per the results, the predictors of chatbot adoption intention (AIN) are perceived ease of use, perceived usefulness, perceived trust (PTR), perceived intelligence (PNT) and anthropomorphism (ANM). Technological anxiety (TXN) does not influence the chatbot AIN. Stickiness to traditional human travel agents negatively moderates the relation of AIN and AUE of chatbots in tourism and provides deeper insights into manager’s commitment to providing travel planning services using AI-based chatbots. Practical implications This research presents unique practical insights to the practitioners, managers and executives in the tourism industry, system designers and developers of AI-based chatbot technologies to understand the antecedents of chatbot adoption by travelers. TXN is a vital concern for the customers; so, designers and developers should ensure that chatbots are easily accessible, have a user-friendly interface, be more human-like and communicate in various native languages with the customers. Originality/value This study contributes theoretically by extending the TAM to provide better explanatory power with human–robot interaction context-specific constructs – PTR, PNT, ANM and TXN – to examine the customers’ chatbot AIN. This is the first step in the direction to empirically test and validate a theoretical model for chatbots’ adoption and usage, which is a disruptive technology in the hospitality and tourism sector in an emerging economy such as India. || [7] What factors contribute to the acceptance of artificial intelligence? A systematic review (2022): Artificial Intelligence (AI) agents are predicted to infiltrate most industries within the next decade, creating a personal, industrial, and social shift towards the new technology. As a result, there has been a surge of interest and research towards user acceptance of AI technology in recent years. However, the existing research appears dispersed and lacks systematic synthesis, limiting our understanding of user acceptance of AI technologies. To address this gap in the literature, we conducted a systematic review following the Preferred Reporting Items for Systematic Reviews and meta-Analysis guidelines using five databases: EBSCO host, Embase, Inspec (Engineering Village host), Scopus, and Web of Science. Papers were required to focus on both user acceptance and AI technology. Acceptance was defined as the behavioural intention or willingness to use, buy, or try a good or service. A total of 7912 articles were identified in the database search. Sixty articles were included in the review. Most studies (n = 31) did not define AI in their papers, and 38 studies did not define AI for their participants. The extended Technology Acceptance Model (TAM) was the most frequently used theory to assess user acceptance of AI technologies. Perceived usefulness, performance expectancy, attitudes, trust, and effort expectancy significantly and positively predicted behavioural intention, willingness, and use behaviour of AI across multiple industries. However, in some cultural scenarios, it appears that the need for human contact cannot be replicated or replaced by AI, no matter the perceived usefulness or perceived ease of use. Given that most of the methodological approaches present in the literature have relied on self-reported data, further research using naturalistic methods is needed to validate the theoretical model/s that best predict the adoption of AI technologies.",,
T036,- **高可靠性决策情景下的委托需求**：信息系统研究正关注向代理性IS（如临床决策支持系统）委派权利与责任的问题[8]。,"[8] The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts (2021): … This research has led to an interest in delegation of rights and responsibilities to information systems, such as when doctors rely on clinical decision support systems to provide …",,
T121,这一点可从[7]的审稿修正带来2–11个百分点的准确率提升中推断，主动提示风险能显著改善下游决策质量。,"[7] From Questions to Queries: An AI-powered Multi-Agent Framework for Spatial Text-to-SQL (2025): The complexity of SQL and the spatial semantics of PostGIS create barriers for non-experts working with spatial data. Although large language models can translate natural language into SQL, spatial Text-to-SQL is more error-prone than general Text-to-SQL because it must resolve geographic intent, schema ambiguity, geometry-bearing tables and columns, spatial function choice, and coordinate reference system and measurement assumptions. We introduce a multi-agent framework that addresses these coupled challenges through staged interpretation, schema grounding, logical planning, SQL generation, and execution-based review. The framework is supported by a knowledge base with programmatic schema profiling, semantic enrichment, and embedding-based retrieval. We evaluated the framework on the non-spatial KaggleDBQA benchmark and on SpatialQueryQA, a new multi-level and coverage-oriented benchmark with diverse geometry types, workload categories, and spatial operations. On KaggleDBQA, the system reached 81.2% accuracy, 221 of 272 questions, after reviewer corrections. On SpatialQueryQA, the system achieved 87.7% accuracy, 79 of 90, compared with 76.7% without the review stage. These results show that decomposing the task into specialized but tightly coupled agents improves robustness, especially for spatially sensitive queries. The study improves access to spatial analysis and provides a practical step toward more reliable spatial Text-to-SQL systems and autonomous GIS.",,
T146,"[CLAIM REMOVED IN THIS CONDITION -- no corresponding citation-bearing sentence found. This row is pre-filled by the system, not by the coder. Do not change it.]",,已移除（REMOVED）,
T106,综合来看，直接实验证据来自 [3]，其反面教训在于独立 planner 的风险，而正面实践见于 [1][5][6][8]，它们或隐含或必需规划步骤，但均为半耦合设计，提示完全独立的 planner agent 可能并非最优形态，但显式规划职能对于 claim-evidence 边界确有价值。,"[1] Towards Robust Fact-Checking: A Multi-Agent System with Advanced Evidence Retrieval (2025): The rapid spread of misinformation in the digital era poses significant challenges to public discourse, necessitating robust and scalable fact-checking solutions. Traditional human-led fact-checking methods, while credible, struggle with the volume and velocity of online content, prompting the integration of automated systems powered by Large Language Models (LLMs). However, existing automated approaches often face limitations, such as handling complex claims, ensuring source credibility, and maintaining transparency. This paper proposes a novel multi-agent system for automated fact-checking that enhances accuracy, efficiency, and explainability. The system comprises four specialized agents: an Input Ingestion Agent for claim decomposition, a Query Generation Agent for formulating targeted subqueries, an Evidence Retrieval Agent for sourcing credible evidence, and a Verdict Prediction Agent for synthesizing veracity judgments with human-interpretable explanations. Evaluated on benchmark datasets (FEVEROUS, HOVER, SciFact), the proposed system achieves a 12.3% improvement in Macro F1-score over baseline methods. The system effectively decomposes complex claims, retrieves reliable evidence from trusted sources, and generates transparent explanations for verification decisions. Our approach contributes to the growing field of automated fact-checking by providing a more accurate, efficient, and transparent verification methodology that aligns with human fact-checking practices while maintaining scalability for real-world applications. Our source code is available at https://github.com/HySonLab/FactAgent || [3] Understanding and Bridging the Planner-Coder Gap: A Systematic Study on the Robustness of Multi-Agent Systems for Code Generation (2025): Multi-agent systems (MASs) have emerged as a promising paradigm for automated code generation, demonstrating impressive performance on established benchmarks. Despite their prosperous development, the fundamental mechanisms underlying their robustness remain poorly understood, raising critical concerns for real-world deployment. This paper conducts a systematic empirical study to uncover the internal robustness flaws of MASs using a mutation-based methodology. By designing a testing pipeline incorporating semantic-preserving mutation operators and a novel fitness function, we assess mainstream MASs across multiple datasets and LLMs. Our findings reveal substantial robustness flaws: semantically equivalent inputs cause drastic performance drops, with MASs failing to solve 7.9\%--83.3\% of problems they initially resolved successfully. Through comprehensive failure analysis, we discover a fundamental cause underlying these robustness issues: the \textit{planner-coder gap}, which accounts for 75.3\% of failures. This gap arises from information loss in the multi-stage transformation process where planning agents decompose requirements into underspecified plans, and coding agents subsequently misinterpret intricate logic during code generation. Based on this formulated information transformation process, we propose a \textit{repairing method} that mitigates information loss through multi-prompt generation and introduces a monitor agent to bridge the planner-coder gap. Evaluation shows that our repairing method effectively enhances the robustness of MASs by solving 40.0\%--88.9\% of identified failures. Our work uncovers critical robustness flaws in MASs and provides effective mitigation strategies, contributing essential insights for developing more reliable MASs for code generation. || [5] FactReview: Evidence-Grounded Reviews with Literature Positioning and Execution-Based Claim Verification (2026): needed for review lies in related work or released code. We present FactReview, an  evidence-grounded reviewing system that combines claim extraction, literature positioning, and || [6] SciTrue: Evidence-Grounded Claim Verification in Science (2026): products now provide scientific summarisation, literature review, or evidence retrieval, often   to systematic review templates), and lack precise mappings between synthesized claims and || [8] ADMP-LS: Agent-Based Dialogue and Mining Platform for Evidence-Grounded QA, Extraction, and Literature Review in Life Science (2025): that streamlines literature review, facilitates evidencegrounded  capabilities: (i) literature  review via outline-based summaries  papers are collected via literature review and/or question",,
T020,"核心主题与证据  
- **多源系统文献综述（SLR）**：一项关于多级库存优化的SLR从Scopus、Crossref和Google Scholar三库检索文献，显示跨库检索是常见做法，但未说明如何处理元数据不一致[1]。","[1] Implementation of Multi-Echelon Inventory Optimization (MEIO): a Systematic Literature Review (2025): Multi-Echelon Inventory Optimization (MEIO) refers to a strategic method for controlling inventory across multiple tiers of the supply chain, encompassing everything from suppliers to end retailers. Research related to MEIO remains fragmented, with diverse modeling techniques and limited empirical validation. This study presents a systematic literature review (SLR) on MEIO published during the period 2015–2025 using the PRISMA protocol. A total of 1,333 initial articles were identified from the Scopus, Crossref, and Google Scholar. The review results categorize MEIO research based on application domains, methodologies, optimization techniques, and performance indicators. Key findings reveal three research gaps: (1) limited integration of digital technologies such as blockchain and IoT, (2) a lack of empirical case studies in developing countries, and (3) the absence of a risk-based decision-making framework. The novelty of this study lies in providing a structured synthesis of MEIO research trends, proposing a conceptual framework for future applications, and delivering practical implications for academics and practitioners. This review contributes to the advancement of supply chain management by offering directions for innovation in multi-echelon inventory planning.
Keywords: Multi-Echelon Inventory; Supply Chain Optimization; Systematic Literature Review; Risk Management; Digital Technology",,
T102,**冲突证据或复杂证据查询**：从生物医学研究中提取科学证据时，面对存在冲突证据的临床问题（例如某治疗方法对特定疾病的疗效不一），文档级证据提取任务极具挑战 [4]。,"[4] Query-driven Document-level Scientific Evidence Extraction from Biomedical Studies (2025): Extracting scientific evidence from biomedical studies for clinical research questions (e.g., Does stem cell transplantation improve quality of life in patients with medically refractory Crohn's disease compared to placebo?) is a crucial step in synthesising biomedical evidence. In this paper, we focus on the task of document-level scientific evidence extraction for clinical questions with conflicting evidence. To support this task, we create a dataset called CochraneForest, leveraging forest plots from Cochrane systematic reviews. It comprises 202 annotated forest plots, associated clinical research questions, full texts of studies, and study-specific conclusions. Building on CochraneForest, we propose URCA (Uniform Retrieval Clustered Augmentation), a retrieval-augmented generation framework designed to tackle the unique challenges of evidence extraction. Our experiments show that URCA outperforms the best existing methods by up to 10.3% in F1 score on this task. However, the results also underscore the complexity of CochraneForest, establishing it as a challenging testbed for advancing automated evidence synthesis systems.",,
T147,"**过度拟人化的第一人称总结**（如“在我看来”“我总结一下”等）  
   证据：拟人化设计能显著提升用户对聊天机器人的指令遵从[1]，但过度拟人化可能造成与用户预期不匹配的“人工感”。","[1] AI-based chatbots in customer service and their effects on user compliance (2020): Abstract Communicating with customers through live chat interfaces has become an increasingly popular means to provide real-time customer service in many e-commerce settings. Today, human chat service agents are frequently replaced by conversational software agents or chatbots, which are systems designed to communicate with human users by means of natural language often based on artificial intelligence (AI). Though cost- and time-saving opportunities triggered a widespread implementation of AI-based chatbots, they still frequently fail to meet customer expectations, potentially resulting in users being less inclined to comply with requests made by the chatbot. Drawing on social response and commitment-consistency theory, we empirically examine through a randomized online experiment how verbal anthropomorphic design cues and the foot-in-the-door technique affect user request compliance. Our results demonstrate that both anthropomorphism as well as the need to stay consistent significantly increase the likelihood that users comply with a chatbot’s request for service feedback. Moreover, the results show that social presence mediates the effect of anthropomorphic design cues on user compliance.",,
T062,- **单智能体的交互局限**：多项证据显示，基于 AI 的聊天机器人（单智能体）虽能通过拟人化设计提高用户依从性 [5]，但其采纳仍受感知有用性、信任等因素制约 [6][7]。,"[5] AI-based chatbots in customer service and their effects on user compliance (2020): Abstract Communicating with customers through live chat interfaces has become an increasingly popular means to provide real-time customer service in many e-commerce settings. Today, human chat service agents are frequently replaced by conversational software agents or chatbots, which are systems designed to communicate with human users by means of natural language often based on artificial intelligence (AI). Though cost- and time-saving opportunities triggered a widespread implementation of AI-based chatbots, they still frequently fail to meet customer expectations, potentially resulting in users being less inclined to comply with requests made by the chatbot. Drawing on social response and commitment-consistency theory, we empirically examine through a randomized online experiment how verbal anthropomorphic design cues and the foot-in-the-door technique affect user request compliance. Our results demonstrate that both anthropomorphism as well as the need to stay consistent significantly increase the likelihood that users comply with a chatbot’s request for service feedback. Moreover, the results show that social presence mediates the effect of anthropomorphic design cues on user compliance. || [6] Adoption of AI-based chatbots for hospitality and tourism (2020): Purpose This study aims to investigate the customers’ behavioral intention and actual usage (AUE) of artificial intelligence (AI)-powered chatbots for hospitality and tourism in India by extending the technology adoption model (TAM) with context-specific variables. Design/methodology/approach To understand the customers’ behavioral intention and AUE of AI-powered chatbots for tourism, the mixed-method design was used whereby qualitative and quantitative techniques were combined. A total of 36 senior managers and executives from the travel agencies were interviewed and the analysis of interview data was done using NVivo 8.0 software. A total of 1,480 customers were surveyed and the partial least squares structural equation modeling technique was used for data analysis. Findings As per the results, the predictors of chatbot adoption intention (AIN) are perceived ease of use, perceived usefulness, perceived trust (PTR), perceived intelligence (PNT) and anthropomorphism (ANM). Technological anxiety (TXN) does not influence the chatbot AIN. Stickiness to traditional human travel agents negatively moderates the relation of AIN and AUE of chatbots in tourism and provides deeper insights into manager’s commitment to providing travel planning services using AI-based chatbots. Practical implications This research presents unique practical insights to the practitioners, managers and executives in the tourism industry, system designers and developers of AI-based chatbot technologies to understand the antecedents of chatbot adoption by travelers. TXN is a vital concern for the customers; so, designers and developers should ensure that chatbots are easily accessible, have a user-friendly interface, be more human-like and communicate in various native languages with the customers. Originality/value This study contributes theoretically by extending the TAM to provide better explanatory power with human–robot interaction context-specific constructs – PTR, PNT, ANM and TXN – to examine the customers’ chatbot AIN. This is the first step in the direction to empirically test and validate a theoretical model for chatbots’ adoption and usage, which is a disruptive technology in the hospitality and tourism sector in an emerging economy such as India. || [7] What factors contribute to the acceptance of artificial intelligence? A systematic review (2022): Artificial Intelligence (AI) agents are predicted to infiltrate most industries within the next decade, creating a personal, industrial, and social shift towards the new technology. As a result, there has been a surge of interest and research towards user acceptance of AI technology in recent years. However, the existing research appears dispersed and lacks systematic synthesis, limiting our understanding of user acceptance of AI technologies. To address this gap in the literature, we conducted a systematic review following the Preferred Reporting Items for Systematic Reviews and meta-Analysis guidelines using five databases: EBSCO host, Embase, Inspec (Engineering Village host), Scopus, and Web of Science. Papers were required to focus on both user acceptance and AI technology. Acceptance was defined as the behavioural intention or willingness to use, buy, or try a good or service. A total of 7912 articles were identified in the database search. Sixty articles were included in the review. Most studies (n = 31) did not define AI in their papers, and 38 studies did not define AI for their participants. The extended Technology Acceptance Model (TAM) was the most frequently used theory to assess user acceptance of AI technologies. Perceived usefulness, performance expectancy, attitudes, trust, and effort expectancy significantly and positively predicted behavioural intention, willingness, and use behaviour of AI across multiple industries. However, in some cultural scenarios, it appears that the need for human contact cannot be replicated or replaced by AI, no matter the perceived usefulness or perceived ease of use. Given that most of the methodological approaches present in the literature have relied on self-reported data, further research using naturalistic methods is needed to validate the theoretical model/s that best predict the adoption of AI technologies.",,
T101,**冲突证据或复杂证据查询**：从生物医学研究中提取科学证据时，面对存在冲突证据的临床问题（例如某治疗方法对特定疾病的疗效不一），文档级证据提取任务极具挑战 [4]。,"[4] Query-driven Document-level Scientific Evidence Extraction from Biomedical Studies (2025): Extracting scientific evidence from biomedical studies for clinical research questions (e.g., Does stem cell transplantation improve quality of life in patients with medically refractory Crohn's disease compared to placebo?) is a crucial step in synthesising biomedical evidence. In this paper, we focus on the task of document-level scientific evidence extraction for clinical questions with conflicting evidence. To support this task, we create a dataset called CochraneForest, leveraging forest plots from Cochrane systematic reviews. It comprises 202 annotated forest plots, associated clinical research questions, full texts of studies, and study-specific conclusions. Building on CochraneForest, we propose URCA (Uniform Retrieval Clustered Augmentation), a retrieval-augmented generation framework designed to tackle the unique challenges of evidence extraction. Our experiments show that URCA outperforms the best existing methods by up to 10.3% in F1 score on this task. However, the results also underscore the complexity of CochraneForest, establishing it as a challenging testbed for advancing automated evidence synthesis systems.",,
T090,- **多代理学习与自主管理的实证缺口**：多智能体学习系统的采用复杂性已被提及[3]，但鲜有实际用户行为验证。,"[3] Multi-agent systems: A survey (2018): … Multi Agent Learning (MAL) systems. The following challenges increase the complexity of adopting learning systems for … Mao, “Cross-clouds services autonomic management approach …",,
T141,[6] 中的 Evidence Retrieval Agent 专职“sourcing credible evidence”；[8] 亦设计 Evidence Retrieval agent 负责从 PubMed 检索文献，为响应提供文献依据（“queries PubMed to ground responses in recent literature”）[8]。,"[6] Towards Robust Fact-Checking: A Multi-Agent System with Advanced Evidence Retrieval (2025): The rapid spread of misinformation in the digital era poses significant challenges to public discourse, necessitating robust and scalable fact-checking solutions. Traditional human-led fact-checking methods, while credible, struggle with the volume and velocity of online content, prompting the integration of automated systems powered by Large Language Models (LLMs). However, existing automated approaches often face limitations, such as handling complex claims, ensuring source credibility, and maintaining transparency. This paper proposes a novel multi-agent system for automated fact-checking that enhances accuracy, efficiency, and explainability. The system comprises four specialized agents: an Input Ingestion Agent for claim decomposition, a Query Generation Agent for formulating targeted subqueries, an Evidence Retrieval Agent for sourcing credible evidence, and a Verdict Prediction Agent for synthesizing veracity judgments with human-interpretable explanations. Evaluated on benchmark datasets (FEVEROUS, HOVER, SciFact), the proposed system achieves a 12.3% improvement in Macro F1-score over baseline methods. The system effectively decomposes complex claims, retrieves reliable evidence from trusted sources, and generates transparent explanations for verification decisions. Our approach contributes to the growing field of automated fact-checking by providing a more accurate, efficient, and transparent verification methodology that aligns with human fact-checking practices while maintaining scalability for real-world applications. Our source code is available at https://github.com/HySonLab/FactAgent || [8] A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing (2026): Large language models (LLMs) show promise for healthcare question answering, but clinical use is limited by weak verification, insufficient evidence grounding, and unreliable confidence signalling. We propose a multi-agent medical QA framework that combines complementary LLMs with evidence retrieval, uncertainty estimation, and bias checks to improve answer reliability. Our approach has two phases. First, we fine-tune three representative LLM families (GPT, LLaMA, and DeepSeek R1) on MedQuAD-derived medical QA data (20k+ question-answer pairs across multiple NIH domains) and benchmark generation quality. DeepSeek R1 achieves the strongest scores (ROUGE-1 0.536 +- 0.04; ROUGE-2 0.226 +-0.03; BLEU 0.098 -+ 0.018) and substantially outperforms the specialised biomedical baseline BioGPT in zero-shot evaluation. Second, we implement a modular multi-agent pipeline in which a Clinical Reasoning agent (fine-tuned LLaMA) produces structured explanations, an Evidence Retrieval agent queries PubMed to ground responses in recent literature, and a Refinement agent (DeepSeek R1) improves clarity and factual consistency; an optional human validation path is triggered for high-risk or high-uncertainty cases. Safety mechanisms include Monte Carlo dropout and perplexity-based uncertainty scoring, plus lexical and sentiment-based bias detection supported by LIME/SHAP-based analyses. In evaluation, the full system achieves 87% accuracy with relevance around 0.80, and evidence augmentation reduces uncertainty (perplexity 4.13) compared to base responses, with mean end-to-end latency of 36.5 seconds under the reported configuration. Overall, the results indicate that agent specialisation and verification layers can mitigate key single-model limitations and provide a practical, extensible design for evidence-based and bias-aware medical AI.",,
T026,[1] 作为多 agent 系统综述，提及多 agent 学习（MAL）所面临的复杂性挑战，可用于推断模块化设计可能导致的协调成本。,"[1] Multi-agent systems: A survey (2018): … Multi Agent Learning (MAL) systems. The following challenges increase the complexity of adopting learning systems for … Mao, “Cross-clouds services autonomic management approach …",,
